Anything new?;Was gibt es neues?
"In a relationship";"In einer Beziehung"
"Engaged";"Verlobt"
"Married";"Verheiratet"
"Then You both are allowed to communicate";"Dann dürft ihr beide euch miteinander unterhalten"
"Cancel";"Abbrechen"
"Add as friend";"Als Freund hinzufügen"
"End Relationship";"Beziehung beenden"
"Remove it!";"Entfernen!"
"I'm Sure!";"Ich bin mir sicher!"
"Delete Request";"Anfrage löschen"
"Confirm";"Bestätigen"
"Sure, do it!";"Sicher!"
"Searchresults for";"Suchergebnisse für"
"No results for your query";"Keine Ergebnisse für deine Anfrage"
"Add as friend";"Als Freund hinzufügen"
"Send message";"Nachricht senden"
"You have blocked this user";"Du hast diese Person geblockt"
"Blocked";"Geblockt"
"Answer Request";"Anfrage beantworten"
"Request pending";"Antwort ausstehend"
"Remove request";"Anfrage entfernen"
"Friends";"Freunde"
"No notifications";"Keine Benachrichtigungen"
"new";"neu"
"Done!";"Erledigt!"
"Your message was sent successfully!";"Deine Nachricht wurde erfolgreich versendet!"
"Sorry!";"Entschuldigung!"
"There was an error! Please try again later";"Leider trat ein Problem auf! Versuch es später nochmal"
"To";"An"
"No users found!";"Kein Benutzer gefunden"
"Message";"Nachricht"
"Your message!";"Deine Nachricht!"
"Please wait..";"Bitte warten..."
"Photo Albums";"Bilder Alben"
"This user does not have any profile pins!";"Dieser Benutzer hat keine Profil Pins"
"decides who is allowed to see this post!";"entscheidet, wer diesen Beitrag sehen darf!"
"Post";"Beitrag"
"Likes";"Likes"
"Like";"Like"
"Dislikes";"Dislikes"
"Dislike";"Dislike"
"Remove all your likes";"Alle deine likes entfernen"
"Unlike";"Unlike"
"Comments";"Kommentare"
"Comment";"Kommentar"
"Options";"Optionen"
"Delete post";"Beitrag löschen"
"No Likes yet";"Bisher keine Likes"
"No Dislikes yet";"Bisher keine Dislikes"
"Leave a comment!";"Einen Kommentar hinterlassen"
"Load more comments";"Mehr Kommentare laden"
"Delete this comment";"Diesen Kommentar löschen"
"Remove all your Like/Dislike from this image";"Alle deine Likes/Dislikes von diesem Bild entfernen"
"Press enter to post comment";"Drücke Enter um einen Kommentar zu hinterlassen"
"Previous";"Vorherige"
"Next";"Nächste"
"Image";"Bild"
"of";"von"
"from the Album";"vom Album"
"Delete Image";"Bild löschen"
"There are no posts to show";"Es gibt keine Beiträge zum Anzeigen"
"Load more Posts";"Weitere beiträge laden"
"Filter posts";"Beiträge filtern"
"Show posts";"Beiträge anzeigen"
"Show photos";"Bilder anzeigen"
"Show videos";"Videos anzeigen"
"Apply filter";"Filter anwenden"
"There are no users to show";"Es gibt keine Benutzer zum Anzeigen"
"Profile Images";"Profil Bilder"
"Posted Images";"Benutzte Bilder"
"There are no albums to show!";"Es gibt keine Alben zum Anzeigen!"
"Are You sure You want to remove the friend request?";"Bist du sicher, dass du die Freundschaftsanfrage entfernen möchtest?"
"Are You sure You want to remove this user as a friend?";"Bist du sicher, dass du diese Person als Freund entfernen möchtest?"
"Are You sure You want to unblock this user?";"Bist du sicher, dass du diesen Benutzer nicht mehr blocken möchtest?"
"Block Person";"Person blocken"
"Unblock";"Nicht mehr blockieren"
"Remove as friend";"Als Freund entfernen"
"Send a message";"Nachricht senden"
"Send";"Senden"
"Filter the posts you want to see";"Beiträge filtern, die du sehen möchtest"
"Status posts";"Status Beitrag"
"Photos";"Bilder"
"Videos";"Videos"
"Check for new posts manually";"Manuell nach neuen Beiträgen prüfen"
"What's up?";"Was gibt es neues?"
"Select who will be allowed to see this post";"Wähle, wer diesen beitrag sehen darf"
"Public";"Öffentlich"
"Only Me";"Nur ich"
"Albums";"Alben"
"Gallery Albums";"Gallerie Alben"
"New Album";"Neues Album"
"Filter the albums you want to see";"Alben filtern, die du sehen möchtest"
"My Albums";"Meine Alben"
"Friends Albums";"Alben der Freunde"
"Shared Albums";"Geteilte Alben"
"Create new album";"Album erstellen"
"Description";"Beschreibung"
"Enter a short description for your album. Optional you can leave that blank!";"Gib eine kurze Beschreibung des Albums ein. Optional kannst du das Feld auch leer lassen"
"You can choose friends who are allowed to see this album";"Wähle die Freunde aus, die dieses Album sehen dürfen"
"Shared";"Geteilt"
"Only your friends can see the images";"Nur deine Freunde können die Bilder sehen"
"Every user can see the images";"Alle Benutzer können die Bilder sehen"
"Friends can also upload images";"Auch Freunde können Bilder hochladen"
"My Friends";"Meine Freunde"
"My friends";"Meine Freunde"
"Friend Requests";"Freund Anfragen"
"My Conversations";"Meine Unterhaltungen"
"My Conversations";"Meine Unterhaltungen"
"Start Conversation";"Unterhaltung beginnen"
"There are no conversations";"Es gibt keine Unterhaltungen"
"Remember Me";"Angemeldet bleiben"
"Password";"Passwort"
"I forgot my password";"Passwort vergessen"
"Log in";"Log in"
"Registration";"Registrierung"
"E-Mail";"E-Mail"
"Firstname";"Vorname"
"Lastname";"Nachname"
"Repeat password";"Passwort wiederholen"
"Select your gender";"Geschlecht auswählen"
"Register";"Registrieren"
"Register now!";"Jetzt registrieren!"
"Login";"Login"
"Sorry";"Entschuldigung"
"The entered data is not correct!";"Die eingegebenen Daten sind nicht korrekt"
"Remember me";"Angemeldet bleiben"
"Please confirm your login to enter the admin-panel!";"Bitte logge dich zur Sicherheit nochmal ein!"
"Sign In";"Einloggen"
"Back to your Cunity";"Zurück zu deinem Cunity"
"Toggle navigation";"Navigation wechseln"
"Back to your cunity";"Zurück zu deinem Cunity
"Settings";"Einstellungen"
"Site";"Seite"
"Users & Registration";"Benutzer und Registrierung"
"Mail";"E-Mail"
"Static pages";"Statische Seiten"
"Appearance";"Aussehen"
"Menus";"Menüs"
"Right Sidebar";"Rechte Leiste"
"Layout";"Layout"
"Modules";"Module"
"Userlist";"Benutzerliste"
"Contact-Form";"Kontakt Formular"
"Statistics";"Statistiken"
"Site Reports";"Seitenberichte"
"Events";"Veranstaltungen"
"About Cunity";"Über Cunity"
"Settings";"Einstellungen"
"About";"Über"
"Dashboard";"Dashboard"
"Messages";"Nachrichten"
"Site Infos";"Seiten Informationen"
"Cunity-Name";"Cunity Name"
"Admin Mail";"Admin E-Mail"
"Language";"Sprache"
"Mailing";"Mailing"
"inactive";"Inaktiv"
"Design";"Design"
"404 - Page Not Found";"404 - Seite nicht gefunden"
"Page not found!";"Seite nicht gefunden"
"The page You are requesting is not available!";"Die angeforderte Seite existiert nicht"
"Probably this is only a private content?";"Möglcherweise handet es sich um privaten Inhalt"
"Maybe the Administrator turned this module off?";"Möglicherweise hat der Administrator das Modul deaktiviert"
"Probably the content was deleted?";"Der Inhalt wurde möglicherweise gelöscht"
"Maybe you have misstyped the URL?";"Möglicherweise hast du dich bei der URL verschrieben?"
"Changes Saved";"Änderungen gespeichert"
"An error occurred";"Ein Fehler ist aufgetreten"
"Name of the Cunity";"Name des Cunity"
"Your site name is too short (min. 3 chars)";"Dein Seitenname ist zu kurz (mindestens 3 Zeichen)"
"Url of the Cunity";"URL des Cuntiy"
"Please enter a valid url (must start with http:// or https:// !)";"Gib bitte eine gültige URL ein (muss mit http:// oder https:// beginnen!)"
"Take care!";"Vorsicht!"
"If the URL is not correct, Cunity will not work correctly!";"Ist die URL fehlerhaft wird Cunity nicht richtig funktionieren!"
"Description for this Cunity";"Beschreibung für dieses Cuntiy"
"Your description is too short (min. 10 chars)";"Deine Beschreibung ist zu kurz (mindestens 10 Zeiczhen)"
"Contact E-Mail";"Kontakt E-Mail"
"Please enter a valid email-address!";"Gib bitte eine valide E-Mail Adresse ein"
"Localization";"Lokalisierung"
"Theme";"Thema"
"Select a Theme";"Thema auswählen"
"Cunity Refreshed!";"Cunity Refreshed!"
"Users";"Benutzer"
"Show names";"Namen anzeigen"
"Show only usernames";"Nur Benutzernamen anzeigen"
"Show full names";"Vollen Namen anzeigen"
"Who is allowed to register?";"Wer darf sich registrieren?"
"Everyone";"Jeder"
"Everyone, but user must be activated by an administrator";"Jeder aber Benutzer müssen vm Administrator freigeschaltet werden"
"Only users who received an invitation";"Nur Bentuzer mit einer Einladung"
"Do you want to be notified?";"Wer soll benachrichtigt werden?"
"Send me an email, if a new user registered (and verified the account)";"Eine E-Mail versenden wenn ein neuer Benutzer sich registriert (und freigeschaltet) hat"
"Do not send me an email";"Keine E-Mail versenden"
"Do you want a minimum age for registration?";"Möchtest du ein Mindestalter für die Registrierung?"
"Set the age to 0 to remove the minimum age!";"Setze das Alter auf 0 um das Mindestalter zu deaktivieren"
"Send me a Testmail";"Eine Test E-Mail versenden"
"Connection";"Verbindung"
"Mailserver";"Mailserevr"
"Use SMTP";"SMTP bentuzen"
"Use PHP Sendmail";"PHP Sendmail benutzen"
"SMTP-Host";"SMTP Host"
"SMTP-Port";"SMTP Port"
"SMTP-Authentication";"SMTP Authentifizierung"
"Yes";"Ja"
"No";"Nein"
"SMTP-Username";"SMTP Bentuzername"
"SMTP-Password";"SMTP Passwort"
"SMTP-Security";"SMTP Sicherheit"
"Use SSL";"SSL bentuzen"
"Sender";"Sender"
"Sender-Name";"Sender Name"
"This name is too short! (min. 3 chars)";"Der Name ist zu kurz (mindestens 3 Zeichen)"
"Sender-Address";"Sender Adresse"
"Please enter a valid Email-address!";"Bitt eine gültige E-Mail Adresse eintragen"
"Mail-Templates";"E-Mail Templates"
"Mail-Header";"E-Mail Kopfzeile"
"Mail-Footer";"E-Mail Fußzeile"
"Static Pages";"Statische Seiten"
"Existing Pages";"Existierende Seiten"
"Page-Title & Preview";"Seiten Titel und Vorschau"
"Last Change";"Letzte Änderung"
"Actions";"Aktionen"
"Add new page";"Neue Seite erstellen"
"Edit page";"Seite bearbeiten"
"This field is required";"Dieses Feld ist ein Pflichtfeld"
"Page-Title";"Seiten Titel"
"The title is too short (min. 3 chars)";"Dieser Titel ist zu kurz (mindestens 3 Zeichen)"
"Choose a short Title for this page";"Einen kurzen Titel für diese Seite auswählen"
"Page-Content";"Seiten Inhalt"
"Create page";"Seite erstellen"
"Update page";"Seite bearbeiten"
"Edit";"Bearbeiten"
"Delete";"Löschen"
"Menu";"Menü"
"Add a module";"Modul hinzufügen"
"Add a page";"Seite hinzufügen"
"Add a custom Link";"Benutzerdefinierten Link hinzufügen"
"URL (e.g. http://www.example.com)";"URL (zum Beispiel http://www.example.com)"
"Select Menu";"Menü auswählen"
"Main-Menu";"Hauptmenü"
"Footer-Menu";"Fußzeilen Menü"
"Add item";"Hinzufügen"
"Add to Main-Menu";"Zu Hauptmenü hinzufügen"
"Add to Footer-Menu";"Zu Fußzeilen Menü hinzufügen"
"This is an external link";"Diese Seite ist ein externer Link"
"Remove Item";"Entfernen"
"Right-Sidebar";"Rechte Leiste"
"Manage Modules";"Module verwalten"
"Your Modules";"Deine Module"
"Module-Name";"Modul Name"
"Status";"Status"
"Activated";"Aktiviert"
"Deactivate";"Deaktivieren"
"Change Icon";"Icon ändern"
"Uninstall";"Deinstallieren"
"Activated";"Aktiviert"
"Add User";"Benutzer hinzufügen"
"Name";"Name"
"Registered";"Registriert"
"Last Action";"Letzte Aktion"
"Cunity-Owner";"Cunity Besitzer"
"Delete this user";"Diesen Bentuzer löschen"
"Block this user";"Diesen Bentuzer blockieren"
"Filter the list";"Liste filtern"
"Active Users";"Aktive Benutzer"
"Not verified Users";"Nicht bestätigte Benutzer"
"Administrators";"Administratoren"
"Active";"Aktiv"
"Not verified";"Nicht bestätigt"
"Inactive";"inaktiv"
"Administrator";"Administrator"
"Contact Form";"Kontakt Formular"
"Imprint";"Impressum"
"Terms &amp; Conditions";"AGBs"
"Privacy Policy";"Privatsphäre"
"ContactForm";"Kontakt Formular"
"Subject";"Betreff"
"Your Message";"Deine Nachricht"
"Send a copy to me";"Kopie an dich senden"
